date	id	from	to	actor	note
2026-05-17	TASK-001	-	triage	claude	migrated
2026-05-17	TASK-002	-	triage	claude	migrated
2026-05-17	TASK-003	-	triage	claude	migrated
2026-05-17	TASK-004	-	triage	claude	migrated
2026-05-17	TASK-005	-	triage	claude	migrated
2026-05-17	TASK-006	-	triage	claude	migrated
2026-05-17	TASK-007	-	triage	claude	migrated
2026-05-17	TASK-008	-	triage	claude	migrated
2026-05-17	TASK-009	-	triage	claude	migrated
2026-05-17	TASK-010	-	triage	claude	migrated
2026-05-17	TASK-011	-	triage	claude	migrated
2026-09-20	TASK-020	-	backlog	chazzcoin	migrated
2026-09-20	TASK-021	-	backlog	chazzcoin	migrated
2026-09-20	TASK-024	-	backlog	chazzcoin	migrated
2026-09-20	TASK-026	-	backlog	chazzcoin	migrated
2026-09-20	TASK-027	-	backlog	chazzcoin	migrated
2026-09-20	TASK-028	-	backlog	chazzcoin	migrated
2026-09-20	TASK-029	-	backlog	chazzcoin	migrated
2026-09-20	TASK-030	-	backlog	chazzcoin	migrated
2026-09-20	TASK-031	-	backlog	chazzcoin	migrated
2026-09-20	TASK-032	-	backlog	chazzcoin	migrated
2026-09-20	TASK-033	-	backlog	chazzcoin	migrated
2026-09-20	TASK-034	-	backlog	chazzcoin	migrated
2026-09-20	TASK-035	-	backlog	chazzcoin	migrated
2026-09-20	TASK-036	-	backlog	chazzcoin	migrated
2026-09-20	TASK-037	-	backlog	chazzcoin	migrated
2026-09-20	TASK-038	-	backlog	chazzcoin	migrated
2026-09-20	TASK-039	-	backlog	chazzcoin	migrated
2026-09-20	TASK-040	-	backlog	chazzcoin	migrated
2026-09-20	TASK-041	-	backlog	chazzcoin	migrated
2026-09-20	TASK-042	-	backlog	chazzcoin	migrated
2026-09-20	TASK-043	-	backlog	chazzcoin	migrated
2026-09-20	TASK-044	-	backlog	chazzcoin	migrated
2026-09-20	TASK-045	-	backlog	chazzcoin	migrated
2026-09-20	TASK-046	-	backlog	chazzcoin	migrated
2026-09-20	TASK-047	-	backlog	chazzcoin	migrated
2026-09-20	TASK-048	-	backlog	chazzcoin	migrated
2026-09-20	TASK-049	-	backlog	chazzcoin	migrated
2026-09-20	TASK-050	-	backlog	chazzcoin	migrated
2026-09-20	TASK-051	-	backlog	chazzcoin	migrated
2026-09-20	TASK-052	-	backlog	chazzcoin	migrated
2026-09-20	TASK-053	-	backlog	chazzcoin	migrated
2026-09-20	TASK-054	-	backlog	chazzcoin	migrated
2026-09-20	TASK-012	-	completed	chazzcoin	migrated
2026-09-20	TASK-013	-	completed	chazzcoin	migrated
2026-09-20	TASK-014	-	completed	chazzcoin	migrated
2026-09-20	TASK-015	-	completed	chazzcoin	migrated
2026-09-20	TASK-016	-	completed	chazzcoin	migrated
2026-09-20	TASK-017	-	completed	chazzcoin	migrated
2026-09-20	TASK-018	-	completed	chazzcoin	migrated
2026-09-20	TASK-055	-	completed	chazzcoin	migrated
2026-09-21	TASK-019	-	completed	chazzcoin	migrated
2026-09-21	TASK-022	-	completed	chazzcoin	migrated
2026-09-21	TASK-023	-	completed	chazzcoin	migrated
2026-09-21	TASK-025	-	completed	chazzcoin	migrated
2026-09-21	TASK-056	-	completed	chazzcoin	migrated
2026-09-21	TASK-057	-	completed	chazzcoin	migrated
2026-09-21	TASK-058	-	completed	chazzcoin	migrated
2026-09-23	TASK-059	-	completed	chazzcoin	migrated
2026-09-23	TASK-060	-	completed	chazzcoin	migrated
2026-09-23	TASK-061	-	completed	chazzcoin	migrated
2026-09-23	TASK-062	-	backlog	claude	adopt rasa.module.tasks v1.0.0
2026-09-23	TASK-062	backlog	active	claude	started
2026-09-23	TASK-062	active	review	claude	PR opened
